Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Зінкевич,Соломон,Георгійович,male,1969.2.9,Ді-джей,сквер 7-ма Лінія Дачі Ковалевськог,"сквер 7-ма Лінія Дачі Ковалевського, буд. 44, Голубівка, 82990",380823173059,babiukoleh@example.com
Зарудна,Ірина,Захарівна,female,1965.3.2,Фармацевт,провулок Сільськогосподарськи,"провулок Сільськогосподарський, буд. 0 кв. 85, Авдіївка, 43698",380676719426,kyryloartymovych@example.org
Дзюба,Веніямин,Давидович,male,1952.11.7,Геофізик,парк Водопровідний 3-,"парк Водопровідний 3-й, буд. 12, Соснівка , 96448",380798620473,shvachkomariia@example.com
Слюсар,Надія,Демидівна,female,1939.5.13,Дерун,шосе Донецьк,"шосе Донецька, буд. 262, Вознесенівка, 82173",380703755771,iukhym68@example.com
Лупій,Омелян,Романович,male,1940.9.18,Акушер,набережна Київськ,"набережна Київське, буд. 6, Ананьїв, 83533",380763214977,demyd14@example.net
Ващенко-Захарченко,Макар,Бориславович,male,1977.7.26,Фермер,набережна Омськ,"набережна Омська, буд. 880, Алушта, 46955",380690626562,iosyp38@example.com
Чумаченко,Ірина,Францівна,female,1994.2.1,Модель,парк Спаськи,"парк Спаський, буд. 82, Новгород-Сіверський, 32440",380527858811,lytvynenkoostap@example.org
Стець,Аарон,Охрімович,male,1954.6.11,Маркетолог,парк Лютневий 1-,"парк Лютневий 1-й, буд. 701 кв. 86, Кремінна, 68949",380537504785,rpavlenko@example.com
Щорс,Аніта,Григоріївна,female,1993.2.17,Головний меркшейдер,площа Італійськи,"площа Італійський, буд. 99, Шахтарськ, 56647",380707359343,gzarudnyi@example.net
Скопенко,Ярослав,Леонтійович,male,1957.5.9,Електрик,узвіз Дальницьк,"узвіз Дальницька, буд. 600 кв. 013, Одеса, 88672",380760018285,danylofomenko@example.org
Полтавець,Симон,Єфремович,male,1980.11.27,Маркетолог,проспект 17-та Лінія 6-й ст. Люстдорфської дорог,"проспект 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 93, Глухів, 33083",380847740521,kbabii@example.net
Лупій,Аніта,Орестівна,female,1986.8.18,Кінорежисер,площа Совіньйонівськи,"площа Совіньйонівський, буд. 802 кв. 7, Жмеринка, 30033",380619611188,leontii27@example.net
Усик,Вʼячеслав,Амвросійович,male,1978.6.7,Інженер,вулиця Ползунова 2-,"вулиця Ползунова 2-й, буд. 028, Олександрівськ, 11549",380664675083,nrebryk@example.com
Самойленко,Оксана,Данівна,female,2002.2.4,Зоолог,набережна Мечников,"набережна Мечникова, буд. 42 кв. 574, Бунге , 68209",380826005097,solomiia10@example.net
Василевич,Зорян,Юхимович,male,1991.12.14,Правник,площа Проектний 5-,"площа Проектний 5-й, буд. 4, Сарни, 37408",380971125981,dubynavarfolomii@example.net
Вівчаренко,Степан,Дмитрович,male,1947.10.18,Ювелір,вулиця 1-ша Лінія 6-й ст. Люстдорфської дорог,"вулиця 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 040, Ямпіль, 18186",380677209954,nkhorishko@example.org
Комар,Володимира,Богданівна,female,1953.7.29,Мовознавець,узвіз Сєров,"узвіз Сєрова, буд. 01, Гірське, 29821",380869852720,babakveniiamyn@example.net
Бандура,Артем,Павлович,male,1972.1.8,Пекар,вулиця 6-та Лінія Марії Демченк,"вулиця 6-та Лінія Марії Демченко, буд. 87 кв. 9, Карлівка, 18304",380974763092,sandriichuk@example.net
Шелест,Наталія,Зорянівна,female,1962.4.7,Професор,шосе Балтський 1-,"шосе Балтський 1-й, буд. 1, Угнів, 85086",380530747266,iustynaduplii@example.org
Міщенко,Сергій,Стефанович,male,1981.5.14,Програміст,шосе Агрономічни,"шосе Агрономічний, буд. 5 кв. 919, Березне, 84363",380875010350,shelestkostiantyn@example.com
Шило,Аарон,Августинович,male,1940.5.7,Географ,узвіз Ползунова 2-,"узвіз Ползунова 2-й, буд. 967, Шепетівка, 68414",380640328394,nataliiabezditko@example.com
Бабійчук,Василина,Устимівна,female,1960.10.26,Пекар,узвіз Марсельськ,"узвіз Марсельська, буд. 6, Теплодар, 07541",380676348220,omelian93@example.net
Закусило,Владислав,Амвросійович,male,1998.6.1,Перекладач,набережна Сашка Хорошенк,"набережна Сашка Хорошенка, буд. 34, Ізяслав, 53191",380902982338,kyrylookhrymovych@example.com
Журавель,Анастасія,Пантелеймонівна,female,1988.9.14,Фрілансер,провулок Кавунов,"провулок Кавунова, буд. 859 кв. 543, Косів, 39511",380885311547,mbatih@example.com
Атаманюк,Остап,Охрімович,male,1983.9.23,Геофізик,вулиця Аеропортівськ,"вулиця Аеропортівська, буд. 716 кв. 682, Підгайці, 23975",380765973172,onishchukmartyn@example.org
Давимука,Пантелеймон,Леопольдович,male,1972.10.6,Штукатур,парк Хімічн,"парк Хімічна, буд. 41, Рожище, 28255",380814110132,stepan96@example.net
Уманець,Тереза,Леопольдівна,female,1971.8.17,Літературознавець,узвіз Білоруськ,"узвіз Білоруська, буд. 687, Тернівка , 33029",380696079215,hennadii80@example.net
Шухевич,Павло,Артемович,male,1951.2.16,Льотчик,вулиця Кавказьк,"вулиця Кавказька, буд. 93, Сокиряни, 69247",380835734782,ohrytsenko@example.org
Євдокименко,Златослава,Климентівна,female,1982.1.25,Ветеринар,провулок Мазарат,"провулок Мазараті, буд. 14, Остер , 89180",380889387693,oles73@example.com
Єфименко,Гліб,Амвросійович,male,1940.7.23,Журналіст,провулок Пiвденни,"провулок Пiвденний, буд. 6 кв. 35, Часів Яр, 59955",380842104152,ykorolenko@example.net
Доценко,Нестор,Климентович,male,1973.11.2,Кінорежисер,вулиця Пестел,"вулиця Пестеля, буд. 71, Полонне, 60880",380616311325,nadiia75@example.net
Артюх,Ольга,Костянтинівна,female,2005.12.28,Ходить в університет,парк Молод,"парк Молоді, буд. 68 кв. 40, Сіверськ, 10986",380780690211,nataliiamedvedenko@example.com
Їжак,Гордій,Гордійович,male,1993.4.8,Модель,узвіз Магнітогорськи,"узвіз Магнітогорський, буд. 970 кв. 6, Білозерське, 85837",380770630667,udavymuka@example.org
Барабаш,Віра,Єфремівна,female,1999.11.6,Слідчий,проспект Розумовський 1-,"проспект Розумовський 1-й, буд. 89, Васильків, 55445",380555013086,nsachenko@example.org
Заїка,Володимир,Тарасович,male,1974.12.14,Модель,провулок Лінія 25-т,"провулок Лінія 25-та, буд. 4 кв. 2, Старий Самбір, 13590",380970469295,zasiadkovitalii@example.org
